commit_hash,introduced_HIGH,removed_HIGH,introduced_MEDIUM,removed_MEDIUM,introduced_LOW,removed_LOW
2528f2bf5f70ad9191230b0ee4d880e522509fe7,0,0,0,0,0,0
424726eed9f441955cc373cc2e3d5381fcf8bf4c,0,0,0,0,0,0
368d77b196707939974209f7515561cb7992750f,0,0,0,0,0,0
f3f66d43bbcba21aef61baae23a8182834966d98,0,0,0,0,0,0
b71febf8d6793306e25b156ad00f2b06c861161a,0,0,0,0,0,0
fe6b73d01b0ad4a0516177b7116b0fec4d1e4450,0,0,0,0,0,0
62dda60c126481ff8e0ea35ddbbd90eb6046179f,0,0,0,0,0,0
d96862b52a74a7ae2aec2625d343af46b8f67aa0,0,0,0,0,0,0
6f7863647dc1d5bb0deb43c041d05ed11b6a2302,0,0,0,0,0,0
3b57fdd466175b8abf0897a2700a0b7a4866cc3e,4,1,1,14,286,14
6667e1de328b0d3ce643c07119d7126fd7dda3f7,0,0,0,0,0,5
82370ffdf3d133a18ee89daceab7bf533eed94e2,1,4,14,1,14,281
9da80eb488c2a39f8330e684f446da0f76d1cbda,0,0,0,0,0,0
18bdda1bc2db3a2733801dcd301f7ecd296a26b8,0,0,0,0,0,0
9370caacbb1b5791dc04b33a589e1df5befd5a72,0,0,0,0,0,0
2c9be27c70af9805f4ee2c0c8c455d41a889cdb2,0,0,0,0,0,0
4a586877a98e5a72d26c794fea57c9383e0f013d,0,0,0,0,0,0
47ced11d9ca484654e7600bb4d58eb0caf0e0d59,0,0,0,0,0,0
571301cefc1cd966e216df33b277ec49fa4a9a4d,4,1,1,14,267,14
b0db4d7240eca2a720bf4824518a52b7602c8c2d,0,0,0,0,0,8
edf38a0685230e1f859fa83b09a87c68feef2e02,1,4,14,1,14,259
778983a8e0cc344b9277b9d19635f8be35c1380d,0,0,0,0,0,0
07d4be2df32ab18687ecbd3dcb769635f3e7aba3,0,0,0,0,0,0
141713738cd27375de02ff7aed2b9a4e6129af62,4,1,1,14,259,14
44fa8d63d49c7fd0f17a7d24d451c8d7ac0ab886,0,0,0,0,0,0
37ac2a870a68cbab2aed66b6c012406dd03dcf93,0,0,0,0,0,0
c64dee43e95e6cd5a9cc2647ca4158d5f612e8b8,0,0,0,0,14,0
f3ced99c92cb662aae781e231618538fa4c1832d,0,0,0,0,0,0
70123a79d2bd011d1c1f4168b35ded2677c12f10,0,0,0,0,0,0
5c23b56aa24b0c4f5b9d41d7c8df050a8c3fcaab,0,0,0,0,0,0
e6523779fd2eb5b3dc450301da094443aae913b3,0,0,0,0,0,0
ae9cd3e6346b7dc9d95f01da6fa6029d32ff4770,1,4,14,1,14,273
8c84de7468565a172288e3e991804e485c4bc9cf,0,0,0,0,0,0
78a9cd3a4c3e687468e95e957873a21f96735f45,0,0,0,0,0,0
9245e8ab801c54393297a21eae3b7f67f4e191b2,0,0,0,0,0,0
ff477066c5a4b0a2526b04795a839fc6fc6a6ea9,0,0,0,0,0,0
119385c5ceafcadfc4471ae7a4519c16cab06afe,0,0,0,0,0,0
db8b2976a122e43f49b2f4e0f2fc2d74b27df413,4,0,1,0,334,0
b2aac3ebd5ce2fced7f7abe2727dc8485e0d004b,0,0,0,0,0,0
9e989af31eb1d0723fba7f75304c2ba8371d1f69,0,0,0,0,0,0
c4f169462f48c31617067f36c9b8c557e0e1957d,0,0,0,0,0,0
178ddaecb184b4333050d32f4ff4ef2164a26416,0,0,0,0,0,0
632e14d415d3f8f20a7a4341d36b6808dd7daf79,0,0,0,0,0,0
e6494f83ecba8c1621699880c960a6009e666928,0,0,0,0,0,0
f3c41b6fb5b72b5f687b0b50ee9386178d24afa2,0,0,0,0,34,0
b652b5f97d14d454a2c891584606bbb15d06f9c6,0,0,0,0,0,34
cdecf5dad77ca1310a41e607ecc7a315f9dfda36,0,0,0,0,0,0
11b0f649fabeccf2298ce2bffd9d281986a21677,0,0,0,0,0,0
25016d2b2226d31de0c9c22c1293e7d8bb1496db,0,0,0,0,0,0
a553be61c55d5034ade4eb67d09f1c39b9f724e3,0,0,0,0,0,0
cc774db7b31eba440f16b077741da53c4480cf4f,0,4,0,1,0,334
2c22a94aa42820760e0fe09936647e2fd63b8570,4,0,1,0,334,0
e37d87b521b9f9b2717249ec7fece89e0e49b865,0,0,0,0,0,0
600ea9107eca5cb8ac8afcad2ba1c01796718348,0,0,0,0,0,0
1a1052f6b64a39efae44e86e2e6712c8f220e177,0,4,0,1,0,334
9d456f34040879208af369e851516e68fe075032,4,0,1,0,334,0
b28d9885d18728817369da4a00dbb07b020432c9,0,0,0,0,0,0
e8fbc2ddbdf0cf7c939d9659c04d611e2ab6e2c8,0,0,0,0,0,0
96ed01dae5c10f45927187ff1681e75f701a075f,0,0,0,0,0,0
feec34ca013e2a3ec5026a4f7c40f40b8ac185ef,0,0,0,0,0,0
7f9b898ad300a8b052734383ae80df6b7c3286b5,0,0,0,0,0,0
aed968fed5c6583cfdccf2693ce5bc36e8374998,0,0,0,0,0,0
a40c2340f105b1d256da6c60c5f0c5c3fb496728,0,0,0,0,0,0
3e9a53f7b7d59df0a029bec6a1dc7a7a8a77dac9,0,0,0,0,0,0
31801514de1197ac25e42fad159051ad18cb9d02,0,0,0,0,0,0
1b165f060edc023349b324a0a33c1bbd72cfc891,0,0,0,0,0,0
6f278cf3627921643cd781196ddd4dcf3430cc4e,0,0,0,0,0,0
a18745c9d90245e8bbb4c9382f9e1debcfe69553,0,0,0,0,0,0
117031de5be3b6530a57a82d7ca14a565653d405,0,0,0,0,0,0
52baf3bd9c51a6a852a110b1fdf17b498e92647d,0,0,0,0,0,0
edff9b284228995477f37ae0f6accc270b78f92a,0,0,0,0,0,0
