commit_hash,conf_HIGH,conf_MEDIUM,conf_LOW,sev_HIGH,sev_MEDIUM,sev_LOW,unique_CWEs
5b315d5c7041d86bf01d4aeb151fc2f9fb97662c,64,1,0,0,6,59,6
bf81d94362691a37052107fd65a8de30026d668e,64,1,0,0,6,59,6
6d0b23f914869851e734c89aec0969eff3bc2dd1,64,1,0,0,6,59,6
7a69807ce63cca75e3deb8bb19ed385f759a7de9,62,1,0,0,5,58,6
88bae476ce3dc9d4cb8ca4349ace922d7a873311,62,1,0,0,5,58,6
dd508b8cfc5452245f117d18b483be770b423823,62,1,0,0,5,58,6
8706ba1589a7a42968d668ff6fedd6b10c8204cd,62,1,0,0,5,58,6
950ac31b9b2a340ab32c039c05d07e318598d485,62,1,0,0,5,58,6
9e77b0dcdd89fbec7b8761640e6555d74db588a4,62,1,0,0,5,58,6
1276724891853df17d10c52431fa8591433df25d,62,1,0,0,5,58,6
c02259a39e62e1e0fd6d50ea00a1e9de31afc54d,62,1,0,0,5,58,6
178cca0ca50d0ea9948f38fc7d45a5d744c6811d,62,1,0,0,5,58,6
d4c5c4736a84e82e15cf5c55468562716eba1624,63,1,0,0,6,58,6
4cc2e5ed177329a76add74df285ff2a1cac19ef0,62,1,0,0,5,58,6
4b483b75ce65f4d2ff8badc3c50d0349a80e375c,62,1,0,0,5,58,6
858d8c122b04d6936cf57ee156ac88987a0ae1dd,62,1,0,0,5,58,6
6b3801107842ceb5be2f51863baa5c1a131baf2f,62,1,0,0,5,58,6
c51a84a6eedb296f0ba0462e280fb558729a70e3,62,1,0,0,5,58,6
bcc4235e2f6f329f872cc3df15c1956a75ba63bc,60,1,0,0,5,56,6
f9fa8ac8461efd8000fbaaa0347c2a1ea9c9e989,60,1,0,0,5,56,6
d1080aa6fdd0b135f3d772656b6a77da06086624,60,1,0,0,5,56,6
c61e0bcee523df8fd30512047a9c42d76b315712,60,1,0,0,5,56,6
667cfaf160a56dc53eef3e0b391038c810759229,60,1,0,0,5,56,6
cd744024ea4390886fe8e36749a0cc2055d8217d,60,1,0,0,5,56,6
07bb34793eb04a94aae7f71a48e753d4eeaa2c7e,60,1,0,0,5,56,6
1d67768a13e17a89e780ed6ca4ccd961f7f190c4,60,1,0,0,5,56,6
ae93d8fcc6e0aa0cc9ac4f93fdd06298dbb31859,60,1,0,0,5,56,6
284c1d8f2c5da14520a5d41858ca97a03075e692,60,1,0,0,5,56,6
d21fbd02bca39948f008d11e9693504f2064013b,60,1,0,0,5,56,6
24697377dbf037f80fbab088af568bcf4ca0c735,60,1,0,0,5,56,6
8cf95ec9a49129bb5fbdb34879e895e8a7b4f487,60,1,0,0,5,56,6
32d36a09f6771b16241f382110d64fbc844e4785,60,1,0,0,5,56,6
2359ed9aa4dda07ac63e7b03243f2dc5b27c7def,60,1,0,0,5,56,6
2c43d293a586201b1d706d5a4e9695fa42f2bc98,60,1,0,0,5,56,6
c9b6ee57a83bc0d67f14de35318ba08cac4cf133,60,1,0,0,5,56,6
d5c36de3c59d77fd446355bd402fab61352ff6cd,60,1,0,0,5,56,6
f9a44c9975c454814d2f5cbcd55f1fbcc9048840,60,1,0,0,5,56,6
